window,sentence_id,actor,concept,distance,actor_from_coref,sentence_rewritten
buildup_may,0001_002,IRAN,diplomacy,1,False,False
buildup_may,0001_002,USA,diplomacy,3,False,False
buildup_may,0001_003,IRAN,diplomacy,4,False,False
buildup_may,0001_003,USA,diplomacy,17,False,False
buildup_may,0001_006,USA,diplomacy,1,False,False
buildup_may,0001_006,IRAN,diplomacy,0,False,False
buildup_may,0001_007,SAUDI_ARABIA,diplomacy,5,False,False
buildup_may,0001_007,USA,diplomacy,1,False,False
buildup_may,0001_007,IRAN,diplomacy,0,False,False
buildup_may,0001_008,USA,diplomacy,2,False,False
buildup_may,0001_008,IRAN,diplomacy,1,False,False
buildup_may,0001_008,CHINA,diplomacy,19,False,False
buildup_may,0001_009,USA,diplomacy,6,False,False
buildup_may,0001_009,OMAN,diplomacy,10,False,False
buildup_may,0001_010,USA,diplomacy,1,False,False
buildup_apr,0002_001,IAEA,military_action,26,False,False
buildup_apr,0002_001,IAEA,nuclear_program,0,False,False
buildup_apr,0002_001,IAEA,deterrence,24,False,False
buildup_apr,0002_001,IRAN,military_action,0,False,False
buildup_apr,0002_001,IRAN,nuclear_program,8,False,False
buildup_apr,0002_001,IRAN,deterrence,2,False,False
buildup_apr,0002_001,ARAGHCHI,military_action,10,False,False
buildup_apr,0002_001,ARAGHCHI,nuclear_program,14,False,False
buildup_apr,0002_001,ARAGHCHI,deterrence,8,False,False
buildup_apr,0002_001,USA,military_action,5,False,False
buildup_apr,0002_001,USA,nuclear_program,20,False,False
buildup_apr,0002_001,USA,deterrence,3,False,False
buildup_apr,0002_001,TRUMP,military_action,2,False,False
buildup_apr,0002_001,TRUMP,nuclear_program,22,False,False
buildup_apr,0002_001,TRUMP,deterrence,0,False,False
buildup_apr,0002_002,ARAGHCHI,nuclear_program,11,False,False
buildup_apr,0002_002,IAEA,nuclear_program,0,False,False
buildup_apr,0002_002,GROSSI,nuclear_program,0,False,False
buildup_apr,0002_003,ARAGHCHI,nuclear_program,19,True,True
buildup_apr,0002_003,ARAGHCHI,deterrence,7,True,True
buildup_apr,0002_003,IRAN,nuclear_program,0,True,True
buildup_apr,0002_003,IRAN,deterrence,0,True,True
buildup_apr,0002_008,TRUMP,military_action,2,False,True
buildup_apr,0002_008,TRUMP,nuclear_program,18,False,True
buildup_apr,0002_008,IRAN,military_action,1,False,True
buildup_apr,0002_008,IRAN,nuclear_program,0,False,True
buildup_apr,0002_008,USA,military_action,11,False,True
buildup_apr,0002_008,USA,nuclear_program,2,False,True
buildup_apr,0002_009,IRAN,military_action,8,True,True
buildup_apr,0002_009,TRUMP,military_action,0,True,True
buildup_apr,0002_011,TRUMP,military_action,46,False,False
buildup_apr,0002_011,TRUMP,nuclear_program,22,False,False
buildup_apr,0002_011,TRUMP,deterrence,0,False,False
buildup_apr,0002_011,IRAN,military_action,0,False,False
buildup_apr,0002_011,IRAN,nuclear_program,3,False,False
buildup_apr,0002_011,IRAN,deterrence,17,False,False
